구분,그룹,고민유형,비율
지역소분류,용산구,신체 외모,2.3
지역소분류,성동구,신체 외모,2.4
지역소분류,광진구,신체 외모,3.1
지역소분류,동대문구,신체 외모,4.6
지역소분류,중랑구,신체 외모,5.5
지역소분류,성북구,신체 외모,2.8
지역소분류,강북구,신체 외모,1.0
지역소분류,도봉구,신체 외모,1.2
지역소분류,노원구,신체 외모,1.3
지역소분류,은평구,신체 외모,1.7
지역소분류,서대문구,신체 외모,3.1
지역소분류,마포구,신체 외모,1.2
지역소분류,양천구,신체 외모,0.5
지역소분류,강서구,신체 외모,1.1
지역소분류,구로구,신체 외모,1.8
지역소분류,금천구,신체 외모,0.5
지역소분류,영등포구,신체 외모,1.5
지역소분류,동작구,신체 외모,2.6
지역소분류,관악구,신체 외모,2.4
지역소분류,서초구,신체 외모,2.3
지역소분류,강남구,신체 외모,2.0
지역소분류,송파구,신체 외모,3.4
지역소분류,강동구,신체 외모,3.0
서울시,소계,인터넷 커뮤니티,0.5
성별,남자,인터넷 커뮤니티,0.7
성별,여자,인터넷 커뮤니티,0.4
연령별,10대,인터넷 커뮤니티,1.1
연령별,20대,인터넷 커뮤니티,1.2
연령별,30대,인터넷 커뮤니티,0.6
연령별,40대,인터넷 커뮤니티,0.2
연령별,50대,인터넷 커뮤니티,0.2
